Ручная подстройка;;;;;Синхронизация моторов;;;;;П-регулятор;;;;;ПИД-регулятор;;;;;;;Power B;Power C;Speed B;Speed C;Общая средняя мощность;Общая средняя скорость;Первый промежуток;Второй промежуток;Третий промежуток;Четвертый промежуток
Power B;Power C;Speed B;Speed C;;Power B;Power C;Speed B;Speed C;;Power B;Power C;Speed B;Speed C;;Power B;Power C;Speed B;Speed C;;;Ручная подстройка;69,53488372;73,37209302;558,255814;555,9883721;71,45348837;557,122093;0,06;-87,04318182;-2,6175;81,73333333
69,53488372;73,37209302;558,255814;555,9883721;;65,31914894;0;464,787234;444,0425532;;66,34269663;71,18539326;530,8988764;526,1235955;;66,12698413;66,46560847;501,3227513;501,2698413;;;Синхронизация моторов;65,31914894;0;464,787234;444,0425532;65,31914894;454,4148936;0,013458529;-89,42884615;-1,477777778;85,65
;Средний угол:;Эталон:;;;;Средний угол:;Эталон:;;;;Средний угол:;Эталон:;;;;Средний угол:;Эталон:;;;;П-регулятор;66,34269663;71,18539326;530,8988764;526,1235955;68,76404494;528,511236;0,260869565;-90,3755102;2,197368421;96,4
Первый промежуток;0,06;0;Общая средняя мощность;;Первый промежуток;0,013458529;0;Общая средняя мощность;;Первый промежуток;0,260869565;0;Общая средняя мощность;;Первый промежуток;0,073913043;0;Общая средняя мощность;;;ПИД-регулятор;66,12698413;66,46560847;501,3227513;501,2698413;66,2962963;501,2962963;0,073913043;-91,84166667;-1,758695652;84,88666667
Второй промежуток;-87,04318182;-90;71,45348837;;Второй промежуток;-89,42884615;-90;65,31914894;;Второй промежуток;-90,3755102;-90;68,76404494;;Второй промежуток;-91,84166667;-90;66,2962963;;;Эталон;;;;;;;0;-90;0;90
Третий промежуток;-2,6175;0;Общая средняя скорость;;Третий промежуток;-1,477777778;0;Общая средняя скорость;;Третий промежуток;2,197368421;0;Общая средняя скорость;;Третий промежуток;-1,758695652;0;Общая средняя скорость;;;;;;;;;;;;;
Четвертый промежуток;81,73333333;90;557,122093;;Четвертый промежуток;85,65;90;454,4148936;;Четвертый промежуток;96,4;90;528,511236;;Четвертый промежуток;84,88666667;90;501,2962963;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;-30;-150;-180;-13;70;0;540;540;1;98;100;930;930;3;70;70;540;540;0;;;;;;;;;;;;
30;-30;100;-200;-89;70;0;540;530;1;98;100;810;810;3;70;70;540;540;0;;;;;;;;;;;;
30;-30;150;-170;-161;70;0;540;540;1;97;100;730;720;2;68;72;540;530;0;;;;;;;;;;;;
30;-30;170;-170;-242;70;0;530;540;1;98;100;880;890;3;70;70;500;520;1;;;;;;;;;;;;
30;-30;200;-180;-329;70;0;540;540;2;98;100;770;770;3;70;70;540;540;1;;;;;;;;;;;;
30;-30;170;-150;-406;70;0;510;510;1;98;100;850;850;3;70;70;540;530;0;;;;;;;;;;;;
30;-30;170;-140;-482;70;0;540;540;1;97;100;810;800;3;70;70;540;540;0;;;;;;;;;;;;
30;-30;200;-170;-563;70;0;570;560;1;98;100;760;770;3;70;70;540;540;0;;;;;;;;;;;;
30;-30;180;-160;-644;70;0;590;600;1;98;100;730;730;3;70;70;530;540;1;;;;;;;;;;;;
30;-30;210;-170;-732;70;0;480;510;1;;;;;;70;70;540;540;1;;;;;;;;;;;;
30;-30;180;-160;-813;70;0;600;560;1;;;;;;70;70;540;540;1;;;;;;;;;;;;
90;90;-1220;2270;-880;70;0;530;540;1;;;;;;70;70;540;530;0;;;;;;;;;;;;
90;90;520;610;-880;70;0;540;540;1;;;;;;70;70;510;510;0;;;;;;;;;;;;
90;90;670;720;-867;70;0;540;540;1;;;;;;70;70;560;560;0;;;;;;;;;;;;
90;90;700;730;-863;70;0;540;540;1;;;;;;68;72;600;600;0;;;;;;;;;;;;
90;90;690;680;-863;70;0;540;530;1;36;-36;180;-220;-123;70;70;530;530;0;;;;;;;;;;;;
90;90;710;720;-864;70;0;510;520;1;38;-38;170;-190;-204;70;70;540;540;0;;;;;;;;;;;;
90;90;720;720;-864;70;0;540;530;1;37;-37;210;-190;-300;70;70;540;540;0;;;;;;;;;;;;
90;90;760;780;-864;70;0;540;540;1;36;-36;230;-200;-398;68;72;540;530;-1;;;;;;;;;;;;
90;90;720;690;-865;70;0;530;540;1;36;-36;220;-190;-494;70;70;530;550;0;;;;;;;;;;;;
90;90;610;600;-865;70;0;540;540;1;34;-34;190;-170;-581;70;70;540;530;0;;;;;;;;;;;;
90;90;750;760;-865;70;0;540;540;1;34;-34;200;-170;-665;70;70;540;540;0;;;;;;;;;;;;
90;90;790;790;-866;70;0;540;540;1;32;-32;210;-170;-752;70;70;540;540;0;;;;;;;;;;;;
90;90;650;640;-866;70;0;540;540;1;;;;;;70;70;510;510;-1;;;;;;;;;;;;
90;90;790;790;-867;70;0;510;510;2;;;;;;69;71;540;540;-1;;;;;;;;;;;;
90;90;610;610;-867;70;0;540;540;1;;;;;;70;70;530;540;1;;;;;;;;;;;;
90;90;720;720;-867;70;0;540;540;1;;;;;;70;70;540;540;1;;;;;;;;;;;;
90;90;760;750;-868;70;0;540;540;2;;;;;;70;70;540;530;1;;;;;;;;;;;;
90;90;790;790;-868;70;0;540;530;1;71;69;-1900;1920;-886;70;70;540;540;1;;;;;;;;;;;;
90;90;680;680;-868;70;0;530;540;2;72;68;440;460;-889;70;70;540;540;1;;;;;;;;;;;;
90;90;650;650;-869;70;0;540;540;1;74;66;580;620;-882;70;70;540;530;0;;;;;;;;;;;;
90;90;820;820;-869;70;0;540;540;2;74;66;480;480;-886;70;70;500;520;0;;;;;;;;;;;;
90;90;720;720;-869;70;0;500;500;2;71;69;560;510;-893;;;;;;;;;;;;;;;;;
90;90;760;750;-870;70;0;340;330;3;70;70;640;620;-897;;;;;;;;;;;;;;;;;
90;90;680;690;-870;;;;;;70;70;520;510;-899;;;;;;;;;;;;;;;;;
90;90;680;680;-870;;;;;;70;70;520;520;-901;;;;;;;;;;;;;;;;;
90;90;720;710;-871;;;;;;70;70;550;540;-903;;;;;;;;;;;;;;;;;
90;90;760;760;-871;;;;;;69;71;570;560;-904;;;;;;;;;;;;;;;;;
90;90;710;710;-871;;;;;;70;70;540;550;-903;77;-77;270;-340;-152;;;;;;;;;;;;
90;90;720;720;-872;;;;;;69;71;520;510;-903;77;-77;300;-440;-296;;;;;;;;;;;;
90;90;680;720;-872;30;0;80;-70;-37;70;70;590;600;-904;77;-77;410;-410;-446;;;;;;;;;;;;
90;90;720;680;-872;30;0;160;-170;-115;69;71;470;460;-903;77;-77;430;-380;-599;;;;;;;;;;;;
90;90;720;720;-873;30;0;170;-170;-195;69;71;620;620;-904;77;-77;430;-310;-749;;;;;;;;;;;;
90;90;690;680;-873;30;0;180;-170;-276;70;70;460;470;-904;;;;;;;;;;;;;;;;;
90;90;680;720;-873;30;0;180;-170;-357;69;71;600;590;-904;;;;;;;;;;;;;;;;;
90;90;720;680;-874;30;0;180;-170;-440;70;70;510;520;-903;;;;;;;;;;;;;;;;;
90;90;790;790;-874;30;0;180;-180;-523;69;71;550;540;-903;;;;;;;;;;;;;;;;;
90;90;680;680;-874;30;0;180;-170;-607;70;70;590;600;-903;;;;;;;;;;;;;;;;;
90;90;790;790;-875;30;0;180;-180;-690;70;70;460;460;-903;73;67;-2250;2340;-898;;;;;;;;;;;;
90;90;680;720;-875;30;0;170;-170;-770;69;71;630;620;-904;72;68;480;490;-899;;;;;;;;;;;;
90;90;720;680;-875;30;0;180;-180;-854;69;71;540;540;-904;73;67;520;560;-892;;;;;;;;;;;;
90;90;690;680;-876;;;;;;70;70;540;550;-903;73;67;550;530;-898;;;;;;;;;;;;
90;90;710;720;-876;;;;;;69;71;550;540;-903;72;68;560;530;-904;;;;;;;;;;;;
90;90;790;780;-876;;;;;;70;70;480;490;-904;71;69;550;530;-908;;;;;;;;;;;;
90;90;690;720;-877;;;;;;69;71;550;540;-904;71;69;510;510;-910;;;;;;;;;;;;
90;90;720;680;-877;;;;;;70;70;590;600;-904;71;69;580;560;-914;;;;;;;;;;;;
90;90;750;760;-877;;;;;;70;70;540;540;-904;71;69;580;560;-918;;;;;;;;;;;;
90;90;650;640;-878;70;0;120;130;-896;69;71;550;540;-904;70;70;570;560;-920;;;;;;;;;;;;
;;;;;70;0;280;300;-890;70;70;510;520;-904;70;70;540;540;-920;;;;;;;;;;;;
-20;-20;-140;-150;-881;70;0;400;420;-886;70;70;570;570;-904;70;70;540;540;-920;;;;;;;;;;;;
-30;30;-180;-160;-880;70;0;500;500;-887;70;70;540;540;-904;70;70;540;540;-921;;;;;;;;;;;;
-30;30;-210;90;-805;70;0;500;500;-888;70;70;490;490;-904;70;70;540;530;-921;;;;;;;;;;;;
-30;30;-200;160;-721;70;0;530;520;-889;70;70;570;570;-904;68;72;530;550;-920;;;;;;;;;;;;
-30;30;-180;170;-640;70;0;540;530;-891;70;70;490;490;-904;68;72;540;540;-920;;;;;;;;;;;;
-30;30;-170;160;-561;70;0;530;540;-892;69;71;600;590;-904;68;72;520;510;-920;;;;;;;;;;;;
-30;30;-160;170;-485;70;0;540;530;-892;70;70;510;520;-904;71;69;530;540;-917;;;;;;;;;;;;
-30;30;-190;190;-397;70;0;540;530;-893;69;71;550;540;-904;70;70;540;540;-918;;;;;;;;;;;;
-30;30;-140;150;-329;70;0;530;540;-893;69;71;570;570;-904;70;70;540;540;-918;;;;;;;;;;;;
-30;30;-160;180;-250;70;0;540;540;-893;69;71;540;540;-904;70;70;540;540;-919;;;;;;;;;;;;
-30;30;-190;200;-158;70;0;540;530;-893;70;70;540;550;-904;68;72;540;540;-919;;;;;;;;;;;;
-30;30;-170;180;-74;70;0;510;510;-894;69;71;520;510;-904;70;70;540;540;-919;;;;;;;;;;;;
90;90;2420;-1080;-1;70;0;540;540;-894;70;70;510;520;-904;70;70;540;530;-919;;;;;;;;;;;;
90;90;620;550;-1;70;0;540;540;-894;70;70;540;540;-904;71;69;540;540;-918;;;;;;;;;;;;
90;90;730;660;-16;70;0;540;530;-895;69;71;550;540;-904;70;70;510;520;-919;;;;;;;;;;;;
90;90;650;630;-20;70;0;530;540;-894;70;70;590;600;-903;70;70;540;540;-917;;;;;;;;;;;;
90;90;750;760;-20;70;0;540;540;-894;70;70;570;570;-904;70;70;530;540;-918;;;;;;;;;;;;
90;90;720;710;-20;70;0;540;540;-894;70;70;490;490;-904;70;70;540;530;-918;;;;;;;;;;;;
90;90;720;720;-21;70;0;540;540;-895;70;70;570;570;-904;70;70;540;540;-919;;;;;;;;;;;;
90;90;680;680;-21;70;0;510;510;-894;70;70;570;570;-903;70;70;540;540;-919;;;;;;;;;;;;
90;90;720;720;-21;70;0;540;570;-894;70;70;490;490;-904;70;70;540;540;-918;;;;;;;;;;;;
90;90;790;790;-22;70;0;620;590;-894;69;71;600;590;-904;70;70;530;540;-918;;;;;;;;;;;;
90;90;650;650;-22;70;0;540;540;-894;70;70;480;490;-904;69;71;520;500;-918;;;;;;;;;;;;
